epoch,train_loss,train_acc,val_loss,val_acc
1,1.8743641014696266,0.4470534069981584,1.5577431701005249,0.5724108293940696
2,1.6208542955953553,0.5441988950276243,1.4895831994555464,0.5921787709497207
3,1.516682099988667,0.5820441988950277,1.3783814837402881,0.625268586162441
4,1.4282902346131552,0.6230202578268876,1.3774969895407525,0.6437473141383756
5,1.3652843548228508,0.6487108655616943,1.330406106947623,0.664804469273743
6,1.3092571383242668,0.676427255985267,1.3730082746529508,0.650623119896863
7,1.2559102529978883,0.7032228360957643,1.2484150178759303,0.7026214009454232
8,1.2135702494538732,0.7175874769797421,1.2069046111080233,0.7249677696605071
9,1.161890716842525,0.7455801104972376,1.324626084351468,0.6867211001289214
10,1.127060899901346,0.7565377532228361,1.2479653349750586,0.7047700902449506
